ID,URL,Video_ID,Titulo,Canal,Fecha_Subida,Duracion_Segundos,Resolucion,FPS,Formato,FileSize_Bytes,Thumbnail_URL,Ruta_Portada
64,https://www.youtube.com/watch?v=ZfnhfwdB7PQ,ZfnhfwdB7PQ,Proyecto modular e integrador,elis servin,20260510,192,1920x1080,30,mp4,40644646,https://i.ytimg.com/vi/ZfnhfwdB7PQ/maxresdefault.jpg,portadas-yt\ZfnhfwdB7PQ.jpg
65,https://www.youtube.com/watch?v=_NACkSeX8SE,_NACkSeX8SE,10 de mayo de 2026,Clarissa Santiago Pérez,20260510,133,1920x1080,30,mp4,28382567,https://i.ytimg.com/vi/_NACkSeX8SE/maxresdefault.jpg,portadas-yt\_NACkSeX8SE.jpg
67,https://www.youtube.com/watch?v=LuZV9kkzscg,LuZV9kkzscg,Worst Job Interview: Odisha Guy,mainduck,20131224,137,1920x1080,25,mp4,10431800,https://i.ytimg.com/vi/LuZV9kkzscg/maxresdefault.jpg,portadas-yt\LuZV9kkzscg.jpg
68,https://www.youtube.com/watch?v=JF6EE8Raq1k,JF6EE8Raq1k,Micro Clase Muestra,Alejandra Aguilar,20210327,286,1280x720,30,mp4,60199998,https://i.ytimg.com/vi/JF6EE8Raq1k/maxresdefault.jpg,portadas-yt\JF6EE8Raq1k.jpg
69,https://www.youtube.com/watch?v=FriJDiVXH2c,FriJDiVXH2c,[UE My. José Agustín Castrillo] Clase de Inglés 4to B de Secundaria 12-05-2026 (Parte 1),Red Fox ESLT,20260513,1794,1280x720,25,mp4,75034940,https://i.ytimg.com/vi/FriJDiVXH2c/maxresdefault.jpg,portadas-yt\FriJDiVXH2c.jpg
70,https://www.youtube.com/watch?v=ihTCa_K-WyY,ihTCa_K-WyY,[UE My. José Agustín Castrillo] Clase de Inglés 4to B de Secundaria 12-05-2026 (Parte 2),Red Fox ESLT,20260513,731,1280x720,25,mp4,35627461,https://i.ytimg.com/vi/ihTCa_K-WyY/maxresdefault.jpg,portadas-yt\ihTCa_K-WyY.jpg
71,https://www.youtube.com/watch?v=6jRcm4GndeY,6jRcm4GndeY,[UE España B] Clase a Distancia 2do B del 14 de Mayo de 2026 (PARTE 1) - Lengua Extranjera Inglés,Red Fox ESLT,20260518,859,1280x720,25,mp4,17508544,https://i.ytimg.com/vi/6jRcm4GndeY/maxresdefault.jpg,portadas-yt\6jRcm4GndeY.jpg
72,https://www.youtube.com/watch?v=fJZpHmI26fU,fJZpHmI26fU,A1 80 00 am 14 05 26,ISE CLASSES,20260514,3239,1280x720,25,mp4,124095567,https://i.ytimg.com/vi/fJZpHmI26fU/maxresdefault.jpg,portadas-yt\fJZpHmI26fU.jpg
73,https://www.youtube.com/watch?v=VxP4MPYvxjA,VxP4MPYvxjA,A1 80 00 am 18 05 26,ISE CLASSES,20260518,3147,1280x674,25,mp4,125651954,https://i.ytimg.com/vi/VxP4MPYvxjA/maxresdefault.jpg,portadas-yt\VxP4MPYvxjA.jpg
74,https://www.youtube.com/watch?v=gzhkg2lhloY,gzhkg2lhloY,Passive voice  10,Heidy Gonzalez Carranza,20260514,2362,1280x682,25,mp4,54549285,https://i.ytimg.com/vi/gzhkg2lhloY/maxresdefault.jpg,portadas-yt\gzhkg2lhloY.jpg
