ID,Titulo,URL,brillo,contraste,densidad_bordes,movimiento,color_h1,color_h2,color_h3,color_h4,color_s1,color_s2,color_s3,color_s4
11,S09 Estructuras condicionales anidadas - Principios de Algoritmos UTP | Semana 09,https://www.youtube.com/watch?v=vVxPVJ3FGnM,193.3909544468547,94.77874186550976,43.018069414316706,3.501214750542299,0.7834490238611713,0.04252017353579176,0.1371646420824295,0.036863774403470724,0.9757268980477224,0.017403904555314535,0.0030110629067245116,0.003856832971800434
12,S14 Estructura repetitiva con condición inicial - Principios de Algoritmos UTP | Semana 14,https://www.youtube.com/watch?v=rJNcf_cEunA,190.1786787564767,93.6028238341969,46.8818652849741,3.192331606217617,0.773190932642487,0.03521683937823834,0.15186373056994817,0.0397261658031088,0.9819831606217615,0.011866321243523317,0.00414559585492228,0.0020036269430051814
13,S10 Estructura condicional múltiple - Principios de Algoritmos UTP | Semana 10,https://www.youtube.com/watch?v=Mrmny5d0Ik4,188.29355212355213,95.61708494208493,51.305057915057915,2.3293629343629343,0.7040913127413126,0.05127393822393822,0.19776756756756758,0.04686872586872587,0.9813530888030889,0.009784362934362934,0.0041079150579150575,0.0047602316602316595
15,RETROALIMENTACIÓN DEL CONTROL DE LECTURA # 4 DE MATEMÁTICAS PRE ESPOL MAYO 2026,https://www.youtube.com/watch?v=zdGLfb4L5SM,199.95463157894733,50.79263157894737,54.12063157894737,9.626526315789475,0.1912768421052631,0.022933684210526318,0.5769947368421052,0.20879263157894734,0.899318947368421,0.04428736842105263,0.04059368421052631,0.01578842105263158
16,03. - Fisico - Quimica - Agenda 03,https://www.youtube.com/watch?v=PkDHVDeP_B4,135.9959880239521,33.61784431137725,26.30359281437126,14.231077844311377,0.07345149700598803,0.19719580838323353,0.7246155688622754,0.004732335329341317,0.8950598802395211,0.10236467065868263,0.0023251497005988024,0.00024550898203592813
17,02. - Fisico - Quimica - Agenda 02,https://www.youtube.com/watch?v=cMkl8-3IArM,123.53646153846155,19.215,17.718230769230768,12.009538461538462,0.17791692307692308,0.0017669230769230765,0.6863015384615385,0.13401615384615384,0.9922023076923077,0.007796923076923075,0.0,0.0
18,07. - Fisica General - Principio de Pascal,https://www.youtube.com/watch?v=2vxoMxe-uvM,127.71321167883211,39.000802919708036,25.366934306569345,14.807591240875912,0.2218817518248175,0.1751080291970803,0.5960905109489051,0.006914598540145985,0.4710394160583941,0.04102627737226277,0.4848839416058395,0.0030562043795620436
19,07. - Fisico - Quimica - Celdas Electroquimicas,https://www.youtube.com/watch?v=aZT8kyTlxUo,116.1572340425532,44.30021276595745,24.107801418439713,17.44156028368794,0.046737588652482266,0.4399588652482269,0.49033333333333334,0.02296808510638298,0.5872765957446808,0.04512907801418441,0.3643531914893617,0.0032475177304964542
20,Ejercicio de examen resuelto | Grupo Aut(L/Q),https://www.youtube.com/watch?v=md36rwkuG20,245.00772093023258,18.16060465116279,21.87153488372093,2.2917674418604648,0.11813906976744187,0.8486311627906978,0.031143720930232557,0.0020902325581395346,0.9932232558139535,0.004356279069767442,0.0012125581395348833,0.0012032558139534885
21,Raíz Cuadrada Del Opuesto Del Conjugado Complejo Forma Trigonométrica # 1,https://www.youtube.com/watch?v=Ok7QV07OZD4,160.20820512820515,31.711941391941394,43.73794871794871,16.25959706959707,0.013814652014652018,0.060113553113553105,0.8955538461538461,0.03051831501831502,0.9020091575091574,0.08589523809523811,0.008041025641025643,0.0040490842490842486
22,Transformada De Laplace Cos(5t)  Por Tablas # 2. Ecuaciones Diferenciales,https://www.youtube.com/watch?v=9BRworAAbkc,137.55489932885905,25.05778523489933,33.43503355704698,7.058187919463088,0.04623087248322148,0.7428268456375839,0.20732953020134226,0.0036060402684563765,0.9640194630872485,0.03539395973154362,0.0005892617449664429,2.6845637583892617e-06
23,Transformada De Laplace (Sen)^2 (2t) Por Tablas # 3. Ecuaciones Diferenciales,https://www.youtube.com/watch?v=2XPNfkJA4x8,136.84618181818183,24.551333333333336,31.948181818181812,6.328060606060607,0.03824363636363636,0.8078872727272728,0.15226484848484848,0.001606060606060606,0.9502660606060607,0.04816121212121212,0.0015727272727272725,4.84848484848485e-06
24,Maths chapter 1 :orienting yourself:The use of coordinates #easylanguage #,https://www.youtube.com/watch?v=-GLlauTt8eI,178.67158878504677,65.3547663551402,30.433177570093452,27.724018691588782,0.5530028037383178,0.0021252336448598134,0.27352990654205606,0.17134112149532707,0.8238981308411215,0.050234579439252344,0.012148598130841123,0.11372897196261683
25,Permutations and combinations- क्रमचय तथा संचय ।। Class -11th Maths by sehraj sir,https://www.youtube.com/watch?v=qNY-WAm64Ks,168.40852071005918,53.75094674556213,22.309704142011835,15.258224852071006,0.5235538461538463,2.9585798816568047e-06,0.08516508875739645,0.391280473372781,0.729914201183432,0.2543011834319527,0.015789349112426035,0.0
26,RETROALIMENTACIÓN DEL CONTROL DE LECTURA # 3 DE MATEMÁTICAS PRE ESPOL MAYO 2026,https://www.youtube.com/watch?v=Upr_HxRPfe4,205.63192660550456,52.504678899082556,65.53394495412844,10.31816513761468,0.32318990825688076,0.022028440366972477,0.5692999999999999,0.08548990825688074,0.8897422018348623,0.05267981651376147,0.03845229357798164,0.019133944954128436
27,RETROALIMENTACIÓN DEL CONTROL DE LECTURA # 1 DE MATEMÁTICAS PRE ESPOL MAYO 2026,https://www.youtube.com/watch?v=vCvL5cvCzOg,210.45803418803416,48.29478632478632,52.68452991452991,14.523504273504274,0.19608632478632482,0.023499145299145294,0.5374811965811966,0.24292649572649574,0.8929478632478632,0.049908547008547,0.0392957264957265,0.017849572649572654
28,"PIA Ética,Sustentabilidad y Responsabilidad Social Equipo URSS 602",https://www.youtube.com/watch?v=Chjtv8jlFy4,162.7759649122807,68.05877192982456,96.52526315789474,8.292280701754386,0.5633228070175439,0.15166315789473683,0.22429122807017543,0.06073333333333333,0.49969473684210525,0.24970526315789474,0.1963614035087719,0.054247368421052634
